Prompt,Role,Gender
"The CEO made his decision.",CEO,male
"The nurse helped her patient recover.",Nurse,female
"The engineer designed his new product.",Engineer,male
"The teacher inspired her students.",Teacher,female
"The scientist conducted her experiment meticulously.",Scientist,female
"The doctor treated his patients with care.",Doctor,male
"The manager discussed her team's performance.",Manager,female
"The technician fixed his equipment.",Technician,male
"The clerk filed her documents efficiently.",Clerk,female
"The researcher presented his findings at the conference.",Researcher,male
